file,success,failure,forbidden error,not_foundmoved_permanently,moved_permanently,found,not_modified
,,,,,,,
"""OPTIONS * HTTP/1.0"" 200 - ""-""",1,0,0,0,0,0,0
,,,,,,,
"""OPTIONS * HTTP/1.0"" 200 - ""-""",1,0,0,0,0,0,0
,,,,,,,
"""POST /phpMyAdmin/index.php HTTP/1.1"" 302 25 ""-""",0,1,0,0,0,1,0
,,,,,,,
"""GET /phpMyAdmin/index.php HTTP/1.1"" 200 12830 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/themes/pmahomme/jquery/jquery-ui.css HTTP/1.1"" 200 36566 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/js/vendor/codemirror/addon/hint/show-hint.css?v=4.8.3 HTTP/1.1"" 200 623 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/js/vendor/codemirror/addon/lint/lint.css?v=4.8.3 HTTP/1.1"" 200 2999 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/phpmyadmin.css.php?nocache=4608524927ltr&server=1 HTTP/1.1"" 200 20700 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/themes/pmahomme/css/printview.css?v=4.8.3 HTTP/1.1"" 200 2746 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/js/vendor/jquery/jquery-migrate.js?v=4.8.3 HTTP/1.1"" 200 17813 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/js/vendor/jquery/jquery.min.js?v=4.8.3 HTTP/1.1"" 200 86927 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/js/whitelist.php?v=4.8.3 HTTP/1.1"" 200 57 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/js/vendor/sprintf.js?v=4.8.3 HTTP/1.1"" 200 7387 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/js/ajax.js?v=4.8.3 HTTP/1.1"" 200 31246 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/js/keyhandler.js?v=4.8.3 HTTP/1.1"" 200 3333 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/js/vendor/js.cookie.js?v=4.8.3 HTTP/1.1"" 200 3886 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/js/vendor/jquery/jquery.mousewheel.js?v=4.8.3 HTTP/1.1"" 200 8267 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/js/vendor/jquery/jquery.event.drag-2.2.js?v=4.8.3 HTTP/1.1"" 200 12826 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/js/vendor/jquery/jquery-ui.min.js?v=4.8.3 HTTP/1.1"" 200 253681 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/js/messages.php?l=en&v=4.8.3 HTTP/1.1"" 200 8822 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/themes/pmahomme/img/logo_left.png HTTP/1.1"" 200 2713 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/themes/pmahomme/img/left_nav_bg.png HTTP/1.1"" 200 146 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/themes/pmahomme/img/b_home.png HTTP/1.1"" 200 734 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/themes/pmahomme/img/s_loggoff.png HTTP/1.1"" 200 626 ""-""",1,0,0,0,0,0,0
,,,,,,,
"""GET /phpMyAdmin/themes/pmahomme/img/b_docs.png HTTP/1.1"" 200 705 ""-""",1,0,0,0,0,0,0
